streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	politischer Berater	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Rechtsphilosoph	Point(13.70748 51.02229)	01187
Leibnizstraße	Gottfried Wilhelm Leibniz	männlich	Diplomatiker	Point(13.70748 51.02229)	01187
Theodor-Storm-Straße	Theodor Storm	männlich	Schriftsteller	Point(13.7716 51.00959)	01219
Theodor-Storm-Straße	Theodor Storm	männlich	Rechtsanwalt	Point(13.7716 51.00959)	01219
Theodor-Storm-Straße	Theodor Storm	männlich	Dichter	Point(13.7716 51.00959)	01219
Theodor-Storm-Straße	Theodor Storm	männlich	Romancier	Point(13.7716 51.00959)	01219
Röntgenstraße	Wilhelm Conrad Röntgen	männlich	Ingenieur	Point(13.77227 51.00576)	01239
Röntgenstraße	Wilhelm Conrad Röntgen	männlich	Professor	Point(13.77227 51.00576)	01239
Röntgenstraße	Wilhelm Conrad Röntgen	männlich	Physiker	Point(13.77227 51.00576)	01239
Röntgenstraße	Wilhelm Conrad Röntgen	männlich	Forscher	Point(13.77227 51.00576)	01239
Thomas-Mann-Straße	Thomas Mann	männlich	Drehbuchautor	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Schriftsteller	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Hochschullehrer	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Romancier	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Essayist	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Kurzgeschichtenautor	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Gesellschaftskritiker	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Autobiograf	Point(13.77159 51.01028)	01219
Thomas-Mann-Straße	Thomas Mann	männlich	Tagebuchschreiber	Point(13.77159 51.01028)	01219
