streetLabel	personLabel	genderLabel	coordinate	postalCode
Bernhard-Wensch-Straße	Bernhard Wensch	männlich	Point(13.696244 51.028821)	01187
Bertha-Dißmann-Straße	Bertha Dißmann	weiblich	Point(13.832495 51.123681)	01465
Berthold-Haupt-Straße	Berthold Haupt	männlich	Point(13.84678 51.00781)	01257
Berthold-Haupt-Straße	Berthold Haupt	männlich	Point(13.84678 51.00781)	01259
Bettinastraße	Bettina von Arnim	weiblich	Point(13.782703 51.068474)	01099
Biedermannstraße	Woldemar von Biedermann	männlich	Point(13.70673 51.03511)	01187
Bienertstraße	Gottlieb Traugott Bienert	männlich	Point(13.708802 51.030412)	01187
Bischof-Benno-Weg	Benno von Meißen	männlich	Point(13.61646 51.08217)	01156
Bismarckstraße	Otto von Bismarck	männlich	Point(13.81665 51.00584)	01257
Bodelschwinghstraße	Friedrich von Bodelschwingh der Ältere	männlich	Point(13.70834 51.04763)	01159
Bodemerweg	Jacob Georg Bodemer	männlich	Point(13.869254 51.013595)	01326
Bramschstraße	Johann Ludwig Bramsch	männlich	Point(13.69198 51.0481)	01159
Breitscheidstraße	Rudolf Breitscheid	männlich	Point(13.81208 51.01184)	01237
Brendelweg	Christian Friedrich Brendel	männlich	Point(13.70779 51.01736)	01189
Brentanostraße	Clemens Brentano	männlich	Point(13.65956 51.05956)	01157
Brockhausstraße	Friedrich Arnold Brockhaus	männlich	Point(13.78914 51.06563)	01099
Brueghelstraße	Pieter Bruegel der Ältere	männlich	Point(13.77403 51.12494)	01109
Bruno-Bürgel-Straße	Bruno H. Bürgel	männlich	Point(13.68763 51.01325)	01189
Buchnerstraße	Paul Buchner	männlich	Point(13.75685 51.02262)	01217
Bulgakowstraße	Michail Afanassjewitsch Bulgakow	männlich	Point(13.7369 51.02082)	01217
Burgkstraße	Arthur Dathe von Burgk	männlich	Point(13.69761 51.04664)	01159
Busmannstraße	Lorenz Busmann	männlich	Point(13.75507 51.0171)	01217
Bünaustraße	Heinrich von Bünau	männlich	Point(13.69933 51.03858)	01159
Böhmertstraße	Viktor Böhmert	männlich	Point(13.78515 51.06867)	01099
Böllstraße	Heinrich Böll	männlich	Point(13.7336 51.02199)	01217
Carl-Immermann-Straße	Karl Immermann	männlich	Point(13.6877 51.05517)	01157
Carl-Maria-von-Weber-Straße	Carl Maria von Weber	männlich	Point(13.8515 51.00999)	01259
Caroline-Bardua-Straße	Caroline Bardua	weiblich	Point(13.75647 51.0192)	01217
Cauerstraße	Emil Cauer der Ältere	männlich	Point(13.75182 51.02552)	01217
Chamissostraße	Adelbert von Chamisso	männlich	Point(13.68731 51.04875)	01157
Charlotte-Bühler-Straße	Charlotte Bühler	weiblich	Point(13.762637 51.081457)	01099
Charlottenstraße	Charlotte von Schiller	weiblich	Point(13.781149 51.069776)	01099
Chopinstraße	Frédéric Chopin	männlich	Point(13.83288 51.06135)	01324
Christian-Morgenstern-Straße	Christian Morgenstern	männlich	Point(13.80329 50.99869)	01257
Christian-Sültze-Straße	Christian Sültze	männlich	Point(13.80293 50.99117)	01257
Clara-Viebig-Straße	Clara Viebig	weiblich	Point(13.70398 51.03833)	01159
Clara-Zetkin-Straße	Clara Zetkin	weiblich	Point(13.69634 51.03788)	01159
Clausen-Dahl-Straße	Johan Christian Clausen Dahl	männlich	Point(13.7606 51.01557)	01219
Clemens-Müller-Straße	Clemens Müller	männlich	Point(13.76904 51.08388)	01099
Collenbuschstraße	Adolph Collenbusch	männlich	Point(13.81832 51.06277)	01324
Columbusstraße	Christoph Kolumbus	männlich	Point(13.7048 51.04581)	01159
Conrad-Felixmüller-Straße	Conrad Felixmüller	männlich	Point(13.77632 51.01748)	01219
Corinthstraße	Lovis Corinth	männlich	Point(13.76217 51.02039)	01219
Corinthstraße	Lovis Corinth	männlich	Point(13.76217 51.02039)	01217
Cornelius-Gurlitt-Straße	Cornelius Gurlitt	männlich	Point(13.68369 51.01396)	01189
Coselgasse	Constantia von Cosel	weiblich	Point(13.842552 51.020061)	01279
Coselweg	Friedrich August Cosel	männlich	Point(13.6956 51.02034)	01189
Albertstadt	Albert von Sachsen	männlich	Point(13.7575 51.08)	01099
Semperoper	Gottfried Semper	männlich	Point(13.735277777 51.054444444)	01067
Augustusbrücke	August der Starke	männlich	Point(13.739568 51.055263)	01067
Augustusbrücke	August der Starke	männlich	Point(13.739568 51.055263)	01097
Augustusstraße	August der Starke	männlich	Point(13.7392 51.0528)	01067
Emerich-Ambros-Ufer	Emerich Ambros	männlich	Point(13.6982 51.0527)	01157
